"Pergunta","Posição","tags","deck"
"Quais são a idade/número de filhos vivos necessários para esterilização cirúrgica voluntária?<br>{{c1::Idade ≥ 21 anos ou&nbsp; ≥ 2 filhos vivos (Lei 14.443 de 2022).}}","49"," Estratégia::Ginecologia::Planejamento_Familiar::08.Métodos_Irreversíveis ","Estratégia"
"Qual é o tempo mínimo para fazer a esterilização voluntária após manifestação de vontade pela paciente?<br>{{c1::60 Dias.}}","48"," Estratégia::Ginecologia::Planejamento_Familiar::08.Métodos_Irreversíveis ","Estratégia"
"Qual é o progestágeno com melhor ação antiandrogênica?<br>{{c1::Ciproterona.}}","15"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::a)Introdução ","Estratégia"
"Qual é o progestágeno menos trombogênico?<br>{{c1::Levonorgestrel.}}","14"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::a)Introdução ","Estratégia"
"Qual é o método contraceptivo categoria 1 em caso de&nbsp;doença biliar sintomática?<br>{{c1::DIU de Cobre.}}","39"," Estratégia::Ginecologia::Planejamento_Familiar::06.Dispositivos_Intrauterinos ","Estratégia"
"Qual é o contraceptivo de escolha em caso de cirrose grave?<br>{{c1::DIU de Cobre.}}","41"," Estratégia::Ginecologia::Planejamento_Familiar::06.Dispositivos_Intrauterinos ","Estratégia"
"Que contraceptivo tem contraindicação absoluta em caso de cirrose grave e qual é o melhor indicado nesse caso?<br>{{c1::<br><ul><li>Categoria 4: contraceptivos hormonais combinados;</li><li>Categoria 1: DIU de cobre.</li></ul>}}","20"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::b)Indicações ","Estratégia"
"Qual é o período de abstinência recomendado pelo método da curva de temperatura basal?<br>{{c1::Do primeiro dia do ciclo menstrual até 3 dias após a elevação da temperatura corporal basal.<br><img src=""paste-0abf9eb249575627c0134760152d98a9a6be9ffb.png"">}}","08"," Estratégia::Ginecologia::Planejamento_Familiar::02.Métodos_Comportamentais::a)Temperatura_Basal ","Estratégia"
"Qual é o principal contraceptivo contraindicado em caso de migrânea com aura?<br>{{c1::Contraceptivo oral combinado.}}","21"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::b)Indicações ","Estratégia"
"Qual é o contraceptivo categoria 1 em caso de migrânea com aura?<br>{{c1::DIU de Cobre.<br><img src=""paste-5d94b4a85954e3bcbd3a7a25071e05501383de31.png""><br>}}","42"," Estratégia::Ginecologia::Planejamento_Familiar::06.Dispositivos_Intrauterinos ","Estratégia"
"Qual é a duração contraceptiva do DIU TCu380A (de acordo com o SUS)?<br>{{c1::10 Anos.<br><img src=""paste-5d94b4a85954e3bcbd3a7a25071e05501383de31.png""><br>}}","43"," Estratégia::Ginecologia::Planejamento_Familiar::06.Dispositivos_Intrauterinos ","Estratégia"
"Quando podemos inserir o DIU em puérperas?<br>{{c1::Após 48h ou após 4 semanas do parto.}}","37"," Estratégia::Ginecologia::Planejamento_Familiar::06.Dispositivos_Intrauterinos ","Estratégia"
"Qual é o efeito colateral mais comum da contracepção de emergência hormonal?<br>{{c1::Náuseas e vômitos.}}","46"," Estratégia::Ginecologia::Planejamento_Familiar::07.Contracepção_de_Emergência ","Estratégia"
"Qual é o risco de trombose venosa profunda durante o uso de contraceptivo oral combinado em relação a mulheres que não usam?<br>{{c1::Risco de 2 a 6 vezes maior.}}","27"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::d)Efeitos_Adversos ","Estratégia"
"Qual é o exame necessário antes de iniciar um anticoncepcional oral combinado em mulher não grávida?<br>{{c1::Apenas a medida da pressão arterial.}}","18"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::a)Introdução ","Estratégia"
"Quando devemos iniciar a pílula contraceptiva oral combinada/progestágeno&nbsp;para garantir proteção já na primeira cartela?<br>{{c1::Com até 5 dias do início do ciclo.}}","13"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::a)Introdução ","Estratégia"
"Qual é o principal mecanismo hormonal que impede a ovulação durante o uso das pílulas orais combinadas?<br>{{c1::Inibição do FSH e LH.}}","16"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::a)Introdução ","Estratégia"
"Qual é a recomendação sobre a eficácia de contraceptivos de emergência se ocorrerem vômitos logo após sua ingestão?<br>{{c1::Somente tomar outra pílula se vomitou há &lt; 2 horas após ingeri-la.}}","47"," Estratégia::Ginecologia::Planejamento_Familiar::07.Contracepção_de_Emergência ","Estratégia"
"Qual é o efeito colateral mais comum dos contraceptivos orais de baixa dose?<br>{{c1::Sangramento de escape.}}","28"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::d)Efeitos_Adversos ","Estratégia"
"Que progestágeno isolado (minipílula) tem eficácia similar aos combinados?<br>{{c1::Desogestrel (eficácia de 97%).}}","31"," Estratégia::Ginecologia::Planejamento_Familiar::05.Hormonal_Progesterona ","Estratégia"
"Qual é o mecanismo de ação do DIU de Cobre?<br>{{c1::Causa inflamação local, que resulta em ambiente hostil à fecundação e aos gametas.}}","40"," Estratégia::Ginecologia::Planejamento_Familiar::06.Dispositivos_Intrauterinos ","Estratégia"
"Qual é o principal efeito colateral dos contraceptivos injetáveis trimestrais?<br>{{c1::Efeito mineralocorticoide, que causa retenção hídrica e ganho de peso.}}","32"," Estratégia::Ginecologia::Planejamento_Familiar::05.Hormonal_Progesterona ","Estratégia"
"Qual é o mecanismo de ação das pílulas contraceptivas de emergência?<br>{{c1::Impede ou atrasa a ovulação. Não tem ação na implantação ou em gestação já estabelecida.}}","45"," Estratégia::Ginecologia::Planejamento_Familiar::07.Contracepção_de_Emergência ","Estratégia"
"Qual é a principal causa de morbimortalidade do paciente portador de fibrose cística?<br>{{c1::Doença pulmonar.<br><img src=""paste-4a496583bf2aecab420a3bbc21ba461eee8ab577.png"" data-editor-shrink=""true"">}}","07"," Estratégia::Pediatria::Fibrose_Cística::03.Quadro_Clínico::a)Doença_Pulmonar ","Estratégia"
"Qual é o perfil de raça e sexo mais afetado pela fibrose cística?<br>{{c1::Caucasianos de ambos os sexos.}}","03"," Estratégia::Pediatria::Fibrose_Cística::01.Epidemiologia_e_Herança_Genética ","Estratégia"
"Qual é o padrão de herança genética da fibrose cística?<br>{{c1::Herança autossômica recessiva.<br><img src=""DenissonC_FC_090.jpg"">}}","01"," Estratégia::Pediatria::Fibrose_Cística::01.Epidemiologia_e_Herança_Genética ","Estratégia"
"Qual é a mutação mais comum no gene CFTR associada à fibrose cística?<br>{{c1::<b>Mutação ΔF508</b> (deleção de um códon para fenilalanina no aminoácido 508).}}","06"," Estratégia::Pediatria::Fibrose_Cística::02.Fisiopatologia ","Estratégia"
"Qual é o principal indicador de mau prognóstico da fibrose cística?<br>{{c1::Colonização por <i>Pseudomonas aeruginosa</i>.<br><img data-editor-shrink=""true"" src=""DenissonC_FC_002 - Bactérias na Fibrose Cística.jpg"">}}","11"," Estratégia::Pediatria::Fibrose_Cística::03.Quadro_Clínico::a)Doença_Pulmonar ","Estratégia"
"Qual é a manifestação clínica mais precoce da fibrose cística?<br>{{c1::<b>Íleo meconial</b> (acomete 20% dos recém-nascidos com fibrose cística).}}","14"," Estratégia::Pediatria::Fibrose_Cística::03.Quadro_Clínico::b)Trato_Gastrointestinal ","Estratégia"
"Qual é a manifestação gastrointestinal mais comum da fibrose cística?<br>{{c1::<b>Insuficiência pancreática exócrina</b> (fezes esteatorreicas, fétidas e baixo ganho ponderoestatural).}}","18"," Estratégia::Pediatria::Fibrose_Cística::03.Quadro_Clínico::b)Trato_Gastrointestinal ","Estratégia"
"Que vitaminas devem ser repostas em pacientes com fibrose cística?<br>{{c1::Vitaminas lipossolúveis A, D, E, K.}}","28"," Estratégia::Pediatria::Fibrose_Cística::05.Tratamento_e_Prevenção ","Estratégia"
"Habitualmente, que exame confirma o diagnóstico de fibrose cística em RN com teste do pezinho positivo?<br>{{c1::Dosagem de cloro no suor&nbsp;≥&nbsp;60 mEq/L (repeti-lo para confirmação).<br><img src=""paste-3f90342f3f6e5e378b3867feeae8ddb1a99453a9.png"">}}","23"," Estratégia::Pediatria::Fibrose_Cística::04.Diagnóstico ","Estratégia"
"Quais são os 2 agentes etiológicos mais comuns das infecções respiratórias nas fases iniciais da fibrose cística?<br>{{c1::<em>Staphylococcus aureus e Haemophilus influenzae.<br></em><img data-editor-shrink=""true"" src=""DenissonC_FC_002 - Bactérias na Fibrose Cística.jpg"">}}","09"," Estratégia::Pediatria::Fibrose_Cística::03.Quadro_Clínico::a)Doença_Pulmonar ","Estratégia"
"Qual é o agente etiológico mais comum das infecções respiratórias em estágios mais avançados da fibrose cística?<br>{{c1::<i>Pseudomonas aeruginosa </i>(marcador de mau prognóstico).<br><img data-editor-shrink=""true"" src=""DenissonC_FC_002 - Bactérias na Fibrose Cística.jpg"">}}","10"," Estratégia::Pediatria::Fibrose_Cística::03.Quadro_Clínico::a)Doença_Pulmonar ","Estratégia"
"Que patologia devemos investigar em RN com íleo meconial?<br>{{c1::<b>Fibrose cística</b> (80-90% dos bebês com íleo meconial apresentam fibrose cística).}}","16"," Estratégia::Pediatria::Fibrose_Cística::03.Quadro_Clínico::b)Trato_Gastrointestinal ","Estratégia"
"Qual é a substância dosada no teste do pezinho de RN com fibrose cística?<br>{{c1::Tripsina imunorreativa.<br><img src=""paste-6ad2fd70fc6c34de222b9ecc084b4b84d0e6f592.jpg"" data-editor-shrink=""true"">}}","22"," Estratégia::Pediatria::Fibrose_Cística::04.Diagnóstico ","Estratégia"
"Que agente de infecção pulmonar típico da fibrose cística é conhecido por aumentar o risco de deterioração rápida da função pulmonar e de óbito?<br>{{c1::<i>Burkholderia cepacia</i>.<br><img data-editor-shrink=""true"" src=""DenissonC_FC_002 - Bactérias na Fibrose Cística.jpg"">}}","12"," Estratégia::Pediatria::Fibrose_Cística::03.Quadro_Clínico::a)Doença_Pulmonar ","Estratégia"
"Qual é o principal agente etiológico da&nbsp;coqueluche?<br>{{c1::<i>Bordetella pertussis.<br></i><img data-editor-shrink=""true"" src=""shutterstock_1051483508.jpg"">}}","01"," Estratégia::Pediatria::Coqueluche::01.Agente_Etiológico_e_Transmissão ","Estratégia"
"Qual é o tratamento de escolha para&nbsp;coqueluche?&nbsp;<br>{{c1::Macrolídeos (azitromicina é a primeira escolha).}}","20"," Estratégia::Pediatria::Coqueluche::05.Tratamento ","Estratégia"
"Qual é o hemograma típico da fase&nbsp;paroxística&nbsp;da&nbsp;coqueluche?&nbsp;<br>{{c1::Leucocitose intensa com linfocitose.}}","15"," Estratégia::Pediatria::Coqueluche::03.Diagnóstico ","Estratégia"
"Qual é o achado típico da radiografia de tórax na coqueluche?<br>{{c1::Opacidades peri-hilares (""coração felpudo"" ou ""borrado"").<br><img data-editor-shrink=""true"" src=""paste-88fd7a55c9ec5465b7c0353588c9592844665443.jpg"">}}","16"," Estratégia::Pediatria::Coqueluche::03.Diagnóstico ","Estratégia"
"Qual é o quadro clínico inicial (fase catarral) da&nbsp;coqueluche?<br>{{c1::Similar a uma IVAS leve (como febre baixa, tosse seca e coriza).}}","10"," Estratégia::Pediatria::Coqueluche::02.Quadro_Clínico ","Estratégia"
"Qual é o quadro clínico da&nbsp;fase paroxística&nbsp;da coqueluche?<br>{{c1::Tosse seca paroxística, guincho inspiratório, vômito pós-tosse e cianose.<br><img data-editor-shrink=""true"" src=""Desenho criança com coqueluche_parte 1_V2.png"">}}","11"," Estratégia::Pediatria::Coqueluche::02.Quadro_Clínico ","Estratégia"
"Qual é a recomendação de notificação da&nbsp;coqueluche?<br>{{c1::Notificação compulsória imediata de casos suspeitos ou confirmados.}}","24"," Estratégia::Pediatria::Coqueluche::07.Vigilância_Epidemiológica ","Estratégia"
"Qual é a principal causa de mortalidade da&nbsp;coqueluche?<br>{{c1::Pneumonia.}}","21"," Estratégia::Pediatria::Coqueluche::06.Complicações ","Estratégia"
"Qual é o período de transmissão da coqueluche em tratamento?<b><br></b>{{c1::Até 5 dias após o início do antibiótico.}}","19"," Estratégia::Pediatria::Coqueluche::05.Tratamento ","Estratégia"
"O que é a&nbsp;<i>pertussis</i> maligna?<br>{{c1::Forma grave da coqueluche, que evolui com insuficiência respiratória aguda e hipertensão pulmonar (devido à hiperleucocitose).}}","23"," Estratégia::Pediatria::Coqueluche::06.Complicações ","Estratégia"
"Qual é a&nbsp;faixa etária&nbsp;que evolui com infecção grave por coqueluche mais comumente?<br>{{c1::Lactentes &lt; 3 meses (devido ao esquema vacinal incompleto).}}","22"," Estratégia::Pediatria::Coqueluche::06.Complicações ","Estratégia"
"Qual é o período de incubação da&nbsp;coqueluche?<br>{{c1::De 5 a 10 dias.}}","02"," Estratégia::Pediatria::Coqueluche::01.Agente_Etiológico_e_Transmissão ","Estratégia"
"Como se comporta a imunidade após a vacinação/infecção por&nbsp;coqueluche?<br>{{c1::É duradoura, mas não é permanente.}}","07"," Estratégia::Pediatria::Coqueluche::01.Agente_Etiológico_e_Transmissão ","Estratégia"
"Qual é o meio de transmissão mais comum da&nbsp;<i>Bordetella pertussis&nbsp;</i>(coqueluche)?<br>{{c1::Aerossóis gerados pelo trato respiratório.<br><img data-editor-shrink=""true"" src=""Airborne.png"">}}","03"," Estratégia::Pediatria::Coqueluche::01.Agente_Etiológico_e_Transmissão ","Estratégia"
"Tipicamente, como as crianças adquirem&nbsp;coqueluche?<br>{{c1::Adultos oligossintomáticos transmitem para crianças com esquema vacinal incompleto.<br><img data-editor-shrink=""true"" src=""Desenho_criança_com_coqueluche2.jpg"">}}","06"," Estratégia::Pediatria::Coqueluche::01.Agente_Etiológico_e_Transmissão ","Estratégia"
"Quais são as 3 fases de evolução clínica da&nbsp;<b>coqueluche?<br></b>{{c1::Catarral, paroxística e de convalescença.<br><img data-editor-shrink=""true"" src=""Imagem9.png"">}}","09"," Estratégia::Pediatria::Coqueluche::02.Quadro_Clínico ","Estratégia"
"Qual é o quadro clínico da coqueluche em&nbsp;crianças maiores&nbsp;e&nbsp;adultos (tipicamente vacinados)?<br>{{c1::Quadro atípico, similar a uma IVAS leve.<br><img src=""Desenho criança com coqueluche_parte 2_V2.png"" data-editor-shrink=""true"">}}","13"," Estratégia::Pediatria::Coqueluche::02.Quadro_Clínico ","Estratégia"
"Qual é a prevenção contra coqueluche recomendada para gestantes?<br>{{c1::Vacina DTPa adulto, a partir da 20ª semana, independentemente de vacinação prévia.}}","25"," Estratégia::Pediatria::Coqueluche::07.Vigilância_Epidemiológica ","Estratégia"
"Qual é a&nbsp;quimioprofilaxia&nbsp;recomendada para coqueluche?<br>{{c1::Idêntica ao tratamento: macrolídeos (azitromicina é a primeira escolha).}}","26"," Estratégia::Pediatria::Coqueluche::07.Vigilância_Epidemiológica ","Estratégia"
"Qual é o quadro clínico da&nbsp;fase de convalescença&nbsp;da&nbsp;coqueluche?<br>{{c1::Paciente recupera-se, mas a tosse seca (não paroxística) persiste por semanas/meses.}}","12"," Estratégia::Pediatria::Coqueluche::02.Quadro_Clínico ","Estratégia"
"Qual é o período de transmissibilidade da coqueluche em indivíduos não tratados?<br>{{c1::Do 5º dia após a exposição até 3 semanas após o início da tosse paroxística.}}","05"," Estratégia::Pediatria::Coqueluche::01.Agente_Etiológico_e_Transmissão ","Estratégia"
"Que fase da coqueluche apresenta maior risco de transmissão?<br>{{c1::Fase catarral.<br><img data-editor-shrink=""true"" src=""Imagem9.png"">}}","04"," Estratégia::Pediatria::Coqueluche::01.Agente_Etiológico_e_Transmissão ","Estratégia"
"Qual é o exame <b>padrão-ouro</b> para diagnóstico de coqueluche?<br>{{c1::Cultura de nasofaringe.<br><img data-editor-shrink=""true"" src=""Swabe de Nasofaringe.jpg"">}}","17"," Estratégia::Pediatria::Coqueluche::03.Diagnóstico ","Estratégia"
"Cite, pelo menos, 2 fatores de risco para coqueluche grave.<br>{{c1::<br><ol><li>Lactentes &lt; 6 meses (especialmente &lt; 3 meses).</li><li><i>Pertussis</i> maligna.</li><li>Hipertensão pulmonar.</li><li>Prematuridade.</li><li>Doenças crônicas (cardíacas, pulmonares ou neurológicas).</li></ol>}}","08"," Estratégia::Pediatria::Coqueluche::02.Quadro_Clínico ","Estratégia"
"Quando se recomenda a quimioprofilaxia<b> </b>contra coqueluche<b> </b>em crianças comunicantes &lt; 1 ano?<br>{{c1::Todas devem receber, independentemente da situação vacinal.}}","27"," Estratégia::Pediatria::Coqueluche::07.Vigilância_Epidemiológica ","Estratégia"
"Quando se recomenda a quimioprofilaxia&nbsp;contra&nbsp;coqueluche&nbsp;em crianças comunicantes de 1 a 7 anos?<br>{{c1::Quando a criança não tem esquema vacinal completo.}}","28"," Estratégia::Pediatria::Coqueluche::07.Vigilância_Epidemiológica ","Estratégia"
"Quando se recomenda a quimioprofilaxia&nbsp;para profissionais de saúde comunicantes de coqueluche?<br>{{c1::Quando trabalham em locais com crianças.}}","30"," Estratégia::Pediatria::Coqueluche::07.Vigilância_Epidemiológica ","Estratégia"
"Qual é a principal causa infecciosa de óbito em crianças &lt; 5 anos?<br>{{c1::Pneumonia.}}","02"," Estratégia::Pediatria::Pneumonia::02.Epidemiologia ","Estratégia"
"Qual é a classificação da pneumonia segundo o local de aquisição da doença?<br>{{c1::<br><ul><li>Adquirida na comunidade;&nbsp;</li><li>Hospitalar/nosocomial (surge após &gt; 48h da internação).</li></ul>}}","05"," Estratégia::Pediatria::Pneumonia::03.Classificação ","Estratégia"
"Em geral, qual é o agente etiológico mais comum das pneumonias bacterianas?<br>{{c1::<i>Streptococcus pneumoniae.<br></i><img src=""paste-996240b69dab7aa734218bfb7559952916f5f08b.png"">}}","06"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::a)Pneumococo ","Estratégia"
"Qual é o agente etiológico mais comum das pneumonias complicadas?<br>{{c1::<i>Streptococcus pneumoniae</i><i>.<br></i><img src=""paste-996240b69dab7aa734218bfb7559952916f5f08b.png"">}}","08"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::a)Pneumococo ","Estratégia"
"Qual é a causa mais comum de pneumonia em crianças &lt; 5 anos?<br>{{c1::Pneumonia viral.}}","09"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::b)Vírus ","Estratégia"
"Qual é o agente etiológico mais comum das pneumonias virais em crianças &lt; 5 anos?<br>{{c1::Vírus sincicial respiratório.}}","10"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::b)Vírus ","Estratégia"
"Quais são os dois agentes bacterianos mais comuns das pneumonias em crianças &lt; 5 anos?<br>{{c1::<br><ol><li>Pneumococo;</li><li>Estafilococo.</li></ol>}}","07"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::a)Pneumococo ","Estratégia"
"Qual é o agente etiológico mais comum das pneumonias atípicas em crianças &gt; 5 anos?<br>{{c1::<i>Mycoplasma pneumoniae.</i>}}","14"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::e)Mycoplasma_pneumoniae ","Estratégia"
"Qual é o principal agente etiológico da pneumonia afebril do lactente?<br>{{c1::<i>Chlamydia trachomatis.</i>}}","12"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::d)Clamídia ","Estratégia"
"Quais são os agentes etiológicos mais comuns da pneumonia no período neonatal?<br>{{c1::Bactérias do canal do parto ou do intestino materno.}}","11"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::c)Neonatos ","Estratégia"
"Qual é a faixa etária mais comumente afetada pela pneumonia afebril do lactente?<br>{{c1::Lactentes de 1 a 3 meses.}}","13"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::d)Clamídia ","Estratégia"
"Qual é a complicação mais frequente da pneumonia bacteriana?<br>{{c1::Derrame pleural.<br><img src=""paste-7c151303280c575af0dbe933a1373015cdb21852.png"">}}","30"," Estratégia::Pediatria::Pneumonia::07.Complicações::a)Derrame_Pleural ","Estratégia"
"Qual é o agente mais provável nas pneumonias em que o paciente apresenta mais de uma complicação?<br>{{c1::<i>Staphylococcus aureus.</i>}}","15"," Estratégia::Pediatria::Pneumonia::04.Agentes_Etiológicos::f)Staphylococcus_aureus ","Estratégia"
"Qual é a conduta recomendada para o derrame pleural não complicado?<br>{{c1::Antibioticoterapia + toracocentese.}}","31"," Estratégia::Pediatria::Pneumonia::07.Complicações::a)Derrame_Pleural ","Estratégia"
"Qual é a complicação mais frequente das broncopneumonias virais?<br>{{c1::Atelectasia.<br><img src=""paste-8895493568743b624dd492ef60a67d361cc53249.png"">}}","35"," Estratégia::Pediatria::Pneumonia::07.Complicações::b)Atelectasia ","Estratégia"
"Que valores de pH, DHL e glicose no líquido pleural indicam derrame complicado em crianças?<br>{{c1::<br><ul><li>pH &lt; 7,1;</li><li>Glicose &lt; 40mg/dL; e/ou</li><li>DHL &gt; 1.000.</li></ul>}}","32"," Estratégia::Pediatria::Pneumonia::07.Complicações::a)Derrame_Pleural ","Estratégia"
"Qual é a definição de&nbsp;bronquiolite viral aguda?<br>{{c1::Primeiro episódio de sibilância do lactente&nbsp;decorrente de uma infecção viral das vias aéreas.}}","01"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::01.Introdução ","Estratégia"
"Qual é o agente etiológico mais comum da&nbsp;bronquiolite viral aguda?<br>{{c1::Vírus sincicial respiratório (50% dos casos).}}","05"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::02.Etiologia ","Estratégia"
"Quais são as formas de transmissão da&nbsp;bronquiolite viral aguda?<br>{{c1::Gotículas respiratórias ou fômites.}}","10"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::04.Transmissão ","Estratégia"
"Qual é a infecção do trato respiratório inferior mais comum em&nbsp;lactentes?<br>{{c1::Bronquiolite viral aguda.}}","02"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::01.Introdução ","Estratégia"
"Qual é a consequência da&nbsp;obstrução completa&nbsp;de uma área do pulmão na&nbsp;bronquiolite viral aguda?<br>{{c1::Atelectasia.
<figure>
    <img src=""atelectasia.jpg"">
    <figcaption>Legenda: atelectasia em ápice direito.</figcaption>
</figure>}}","09"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::03.Fisiopatologia ","Estratégia"
"Qual é a consequência da&nbsp;obstrução parcial&nbsp;de uma área do pulmão na&nbsp;bronquiolite viral aguda?<br>{{c1::Hiperinsuflação pulmonar.<figure>
    <img src=""hiperinsuflação.jpg"">
    <figcaption>Legenda: hipertransparência do parênquima pulmonar e retificação de arcos costais.</figcaption>
</figure>}}","08"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::03.Fisiopatologia ","Estratégia"
"A bronquiolite viral aguda é mais comum em que estações do ano?<br>{{c1::Outono e inverno.}}","04"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::01.Introdução ","Estratégia"
"Qual é a duração da imunidade após infecção pelo vírus sincicial respiratório?<br>{{c1::Não confere imunidade, contudo reinfecções são mais brandas.}}","11"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::04.Transmissão ","Estratégia"
"Qual é o principal agente etiológico da&nbsp;bronquiolite obliterante?<br>{{c1::Adenovírus.}}","06"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::02.Etiologia ","Estratégia"
"Qual é a faixa etária mais comum na&nbsp;bronquiolite viral aguda?<br>{{c1::Lactentes &lt; 2 anos.}}","03"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::01.Introdução ","Estratégia"
"O que é o palivizumabe?<br>{{c1::Anticorpo monoclonal contra o vírus sincicial respiratório.}}","30"," Estratégia::Pediatria::Bronquiolite_Viral_Aguda::10.Prevenção ","Estratégia"
